,BSS,DySS,DSM,RSM,R1FI,R,C,DySS > BSS,DySS > DSM,DySS > RSM,DySS > R1FI,R1FI > DSM,DySS EQ,Perfect EQ
0,10.0,10.0,10.0,10.0,10.0,"[[[0.0, 0.0], [4.0, 5.0]]]","[[[6.0, 6.0], [1.0, 4.0]]]",False,False,False,False,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 0.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 1.0), ('a0', 8.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,10.0,10.0,10.0,10.0,10.0,"[[[3.0, 4.0], [0.0, 5.0]]]","[[[2.0, 5.0], [4.0, 6.0]]]",False,False,False,False,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 0.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 1.0), ('a0', 12.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,8.0,8.0,8.0,7.99999999989376,8.0,"[[[1.0, 4.0], [1.0, 4.0]]]","[[[0.0, 3.0], [2.0, 2.0]]]",False,False,True,False,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('y0_0-0', -0.0), ('y0_1-0', -0.0), ('y0_0-1', -0.0), ('y0_1-1', 1.0), ('a0', 5.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,14.0,14.0,14.0,14.0,14.0,"[[[7.0, 3.0], [5.0, 2.0]]]","[[[6.0, 3.0], [2.0, 6.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 1.0), ('y0_1-0', -0.0), ('y0_0-1', -0.0), ('y0_1-1', -0.0), ('a0', 12.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,12.0,13.0,12.0,11.999999983463752,12.0,"[[[1.0, 2.0], [7.0, 6.0]]]","[[[2.0, 0.0], [5.0, 6.0]]]",True,True,True,True,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('y0_0-0', -0.0), ('y0_1-0', 1.0), ('y0_0-1', -0.0), ('y0_1-1', -0.0), ('a0', 11.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,2.0,2.0,2.0,2.0,2.0,"[[[1.0, 1.0], [0.0, 1.0]]]","[[[3.0, 4.0], [4.0, 3.0]]]",False,False,False,False,False,"[('x0_0,', 0.5), ('x0_1,', 0.5), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('y0_0-0', 0.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 1.0), ('a0', 7.5)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,14.0,14.0,14.0,14.0,14.0,"[[[1.0, 7.0], [1.0, 4.0]]]","[[[4.0, 4.0], [5.0, 2.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('y0_0-0', -0.0), ('y0_1-0', -0.0), ('y0_0-1', -0.0), ('y0_1-1', 1.0), ('a0', 8.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,12.0,12.0,12.0,11.99999998342905,12.0,"[[[4.0, 5.0], [0.0, 6.0]]]","[[[7.0, 5.0], [1.0, 4.0]]]",False,False,True,False,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 0.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 1.0), ('a0', 8.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,14.0,14.0,14.0,14.000000016057857,14.0,"[[[7.0, 2.0], [6.0, 4.0]]]","[[[7.0, 1.0], [1.0, 5.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 1.0), ('y0_1-0', -0.0), ('y0_0-1', -0.0), ('y0_1-1', -0.0), ('a0', 14.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,8.0,8.0,8.0,7.999999983254361,8.0,"[[[2.0, 4.0], [2.0, 3.0]]]","[[[4.0, 5.0], [7.0, 0.0]]]",False,False,True,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 0.3333333333333326), ('x1_1,0', 0.6666666666666674), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('y0_0-0', -0.0), ('y0_1-0', -0.0), ('y0_0-1', -0.0), ('y0_1-1', 1.0), ('a0', 10.000000000000002)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,2.0,5.0,2.0,1.9999999933837544,2.0,"[[[0.0, 0.0], [4.0, 1.0]]]","[[[2.0, 2.0], [2.0, 3.0]]]",True,True,True,True,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('y0_0-0', 0.0), ('y0_1-0', 1.0), ('y0_0-1', 0.0), ('y0_1-1', 0.0), ('a0', 5.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,8.0,8.0,8.0,8.0,8.0,"[[[0.0, 0.0], [4.0, 0.0]]]","[[[1.0, 1.0], [3.0, 1.0]]]",False,False,False,False,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('y0_0-0', 1.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 0.0), ('a0', 6.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,6.0,6.0,6.0,6.0,6.0,"[[[3.0, 6.0], [3.0, 1.0]]]","[[[3.0, 0.0], [2.0, 2.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 1.0), ('y0_1-0', -0.0), ('y0_0-1', -0.0), ('y0_1-1', -0.0), ('a0', 5.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,10.0,10.0,10.0,9.999999996127888,10.0,"[[[5.0, 5.0], [5.0, 0.0]]]","[[[6.0, 5.0], [3.0, 4.0]]]",False,False,True,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 0.5), ('x1_1,0', 0.5), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 1.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 0.0), ('a0', 10.5)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,14.0,14.0,14.0,14.0,14.0,"[[[7.0, 2.0], [0.0, 4.0]]]","[[[4.0, 0.0], [7.0, 5.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 1.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 0.0), ('a0', 8.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,11.0,11.0,11.0,10.999999988810563,11.0,"[[[4.0, 1.0], [7.0, 3.0]]]","[[[7.0, 1.0], [0.0, 6.0]]]",False,False,True,False,False,"[('x0_0,', 0.5), ('x0_1,', 0.5), ('x1_0,0', 0.4999999999999999), ('x1_1,0', 0.5000000000000001), ('x1_0,1', 0.4999999999999999), ('x1_1,1', 0.5000000000000001), ('y0_0-0', 1.0), ('y0_1-0', -0.0), ('y0_0-1', -0.0), ('y0_1-1', -0.0), ('a0', 6.999999999999999)]","[[('x_0', 0.5), ('x_1', 0.5)]]"
0,14.0,14.0,14.0,14.0,14.0,"[[[7.0, 1.0], [6.0, 0.0]]]","[[[6.0, 4.0], [7.0, 5.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 1.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 0.0), ('a0', 12.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,12.0,12.0,12.0,11.999999990090828,12.0,"[[[4.0, 0.0], [6.0, 3.0]]]","[[[6.0, 6.0], [0.0, 0.0]]]",False,False,True,False,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 1.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 0.0), ('a0', 0.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,12.0,13.0,12.0,11.999999990974128,12.0,"[[[3.0, 0.0], [7.0, 4.0]]]","[[[3.0, 0.0], [6.0, 7.0]]]",True,True,True,True,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 0.25), ('x1_1,0', 0.75), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('y0_0-0', 1.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 0.0), ('a0', 11.25)]","[[('x_0', 0.25), ('x_1', 0.75)]]"
0,10.0,10.0,10.0,10.0,10.0,"[[[4.0, 0.0], [5.0, 1.0]]]","[[[3.0, 1.0], [2.0, 0.0]]]",False,False,False,False,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 1.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 0.0), ('a0', 4.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,14.0,14.0,14.0,13.999999983456238,14.0,"[[[4.0, 5.0], [2.0, 7.0]]]","[[[6.0, 2.0], [0.0, 3.0]]]",False,False,True,False,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', -0.0), ('y0_1-0', -0.0), ('y0_0-1', -0.0), ('y0_1-1', 1.0), ('a0', 6.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,12.0,12.0,12.0,11.999938872768363,12.0,"[[[5.0, 6.0], [4.0, 6.0]]]","[[[1.0, 2.0], [2.0, 2.0]]]",False,False,True,False,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('y0_0-0', -0.0), ('y0_1-0', -0.0), ('y0_0-1', -0.0), ('y0_1-1', 1.0), ('a0', 4.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,14.0,14.0,14.0,14.000000000000007,14.0,"[[[7.0, 0.0], [2.0, 7.0]]]","[[[2.0, 0.0], [5.0, 5.0]]]",False,False,False,False,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 0.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 1.0), ('a0', 10.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,12.0,12.0,12.0,11.999999983482038,12.0,"[[[2.0, 6.0], [5.0, 2.0]]]","[[[0.0, 1.0], [5.0, 4.0]]]",False,False,True,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('y0_0-0', -0.0), ('y0_1-0', -0.0), ('y0_0-1', -0.0), ('y0_1-1', 1.0), ('a0', 2.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,12.0,12.0,12.0,11.99999999009023,12.0,"[[[2.0, 0.0], [6.0, 6.0]]]","[[[4.0, 4.0], [7.0, 4.0]]]",False,False,True,False,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('y0_0-0', 1.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 0.0), ('a0', 14.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,10.0,12.0,10.0,10.000000000655525,10.0,"[[[1.0, 7.0], [0.0, 3.0]]]","[[[6.0, 5.0], [1.0, 2.0]]]",True,True,True,True,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 0.5), ('x1_1,1', 0.5), ('y0_0-0', 0.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 1.0), ('a0', 8.5)]","[[('x_0', 0.5), ('x_1', 0.5)]]"
0,7.5,7.5,7.5,7.499999985508921,7.5,"[[[0.0, 5.0], [7.0, 0.0]]]","[[[3.0, 2.0], [0.0, 3.0]]]",False,False,True,False,False,"[('x0_0,', 0.75), ('x0_1,', 0.25), ('x1_0,0', 0.75), ('x1_1,0', 0.25), ('x1_0,1', 0.75), ('x1_1,1', 0.25), ('y0_0-0', 0.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 1.0), ('a0', 4.5)]","[[('x_0', 0.75), ('x_1', 0.25)]]"
0,14.0,14.0,14.0,13.99999998345243,14.0,"[[[3.0, 2.0], [7.0, 4.0]]]","[[[1.0, 6.0], [1.0, 0.0]]]",False,False,True,False,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 1.0), ('y0_1-0', -0.0), ('y0_0-1', -0.0), ('y0_1-1', -0.0), ('a0', 2.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,12.0,12.0,12.0,11.999999993394603,12.0,"[[[6.0, 5.0], [6.0, 6.0]]]","[[[5.0, 1.0], [0.0, 6.0]]]",False,False,True,False,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', -0.0), ('y0_1-0', -0.0), ('y0_0-1', -0.0), ('y0_1-1', 1.0), ('a0', 12.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,8.0,8.0,8.0,8.0,8.0,"[[[1.0, 4.0], [5.0, 1.0]]]","[[[2.0, 5.0], [0.0, 3.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('y0_0-0', 0.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 1.0), ('a0', 10.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,14.0,14.0,14.0,13.999999009690152,14.0,"[[[2.0, 7.0], [2.0, 4.0]]]","[[[1.0, 1.0], [3.0, 0.0]]]",False,False,True,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('y0_0-0', -0.0), ('y0_1-0', -0.0), ('y0_0-1', -0.0), ('y0_1-1', 1.0), ('a0', 2.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,12.0,12.0,12.0,11.999999993349403,12.0,"[[[6.0, 0.0], [4.0, 6.0]]]","[[[5.0, 3.0], [3.0, 7.0]]]",False,False,True,False,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 0.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 1.0), ('a0', 14.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,4.0,4.7200000000000015,4.0,4.0,4.0,"[[[0.0, 0.0], [2.0, 4.0]]]","[[[4.0, 5.0], [7.0, 3.0]]]",True,True,True,True,False,"[('x0_0,', 0.3199999999999996), ('x0_1,', 0.6800000000000004), ('x1_0,0', 0.7999999999999995), ('x1_1,0', 0.20000000000000048), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 0.0), ('y0_1-0', 0.0), ('y0_0-1', 1.0), ('y0_1-1', 0.0), ('a0', 10.640000000000002)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,10.0,10.0,10.0,9.999999986788401,10.0,"[[[5.0, 0.0], [2.0, 6.0]]]","[[[0.0, 0.0], [3.0, 2.0]]]",False,False,True,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('y0_0-0', 1.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 0.0), ('a0', 0.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,14.0,14.0,14.0,14.0,14.0,"[[[7.0, 6.0], [7.0, 4.0]]]","[[[7.0, 3.0], [7.0, 5.0]]]",False,False,False,False,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 1.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 0.0), ('a0', 14.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,14.0,14.0,14.0,14.0,14.0,"[[[7.0, 6.0], [6.0, 2.0]]]","[[[5.0, 5.0], [2.0, 1.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 1.0), ('y0_1-0', -0.0), ('y0_0-1', -0.0), ('y0_1-1', -0.0), ('a0', 10.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,12.0,12.0,12.0,12.0,12.0,"[[[6.0, 3.0], [4.0, 5.0]]]","[[[5.0, 3.0], [6.0, 5.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('y0_0-0', 1.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 0.0), ('a0', 10.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,10.0,10.0,10.0,9.999999983465905,10.0,"[[[5.0, 1.0], [3.0, 3.0]]]","[[[3.0, 1.0], [4.0, 6.0]]]",False,False,True,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('y0_0-0', 1.0), ('y0_1-0', -0.0), ('y0_0-1', -0.0), ('y0_1-1', -0.0), ('a0', 6.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,6.0,6.0,6.0,6.0,6.0,"[[[3.0, 0.0], [1.0, 3.0]]]","[[[4.0, 6.0], [3.0, 7.0]]]",False,False,False,False,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 0.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 1.0), ('a0', 14.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,8.0,8.0,8.0,8.0,8.0,"[[[0.0, 4.0], [1.0, 1.0]]]","[[[5.0, 7.0], [2.0, 7.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('y0_0-0', 0.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 1.0), ('a0', 14.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,14.0,14.0,14.0,14.0,14.0,"[[[0.0, 7.0], [2.0, 3.0]]]","[[[0.0, 5.0], [3.0, 2.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('y0_0-0', -0.0), ('y0_1-0', -0.0), ('y0_0-1', -0.0), ('y0_1-1', 1.0), ('a0', 10.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,12.0,12.0,12.0,12.0,12.0,"[[[0.0, 4.0], [6.0, 2.0]]]","[[[2.0, 6.0], [5.0, 5.0]]]",False,False,False,False,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 1.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 0.0), ('a0', 10.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,12.0,12.0,12.0,12.0,12.0,"[[[6.0, 3.0], [3.0, 4.0]]]","[[[5.0, 2.0], [6.0, 6.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('y0_0-0', 1.0), ('y0_1-0', -0.0), ('y0_0-1', -0.0), ('y0_1-1', -0.0), ('a0', 10.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,14.0,14.0,14.0,14.0,14.0,"[[[7.0, 7.0], [3.0, 0.0]]]","[[[6.0, 6.0], [6.0, 2.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('y0_0-0', 0.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 1.0), ('a0', 12.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,4.0,4.0,4.0,4.0,4.0,"[[[2.0, 6.0], [0.0, 1.0]]]","[[[7.0, 2.0], [7.0, 1.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 1.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 0.0), ('a0', 14.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,14.0,14.0,14.0,14.0,14.0,"[[[7.0, 7.0], [6.0, 1.0]]]","[[[1.0, 2.0], [2.0, 4.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 0.5), ('x1_1,0', 0.5), ('x1_0,1', 1.0), ('x1_1,1', 0.0), ('y0_0-0', 0.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 1.0), ('a0', 4.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,14.0,14.0,14.0,13.999999983440091,14.0,"[[[7.0, 7.0], [6.0, 5.0]]]","[[[3.0, 0.0], [2.0, 4.0]]]",False,False,True,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 1.0), ('y0_1-0', -0.0), ('y0_0-1', -0.0), ('y0_1-1', -0.0), ('a0', 6.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,8.0,8.0,8.0,8.0,8.0,"[[[0.0, 2.0], [1.0, 4.0]]]","[[[2.0, 0.0], [0.0, 7.0]]]",False,False,False,False,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 0.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 1.0), ('a0', 14.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,6.0,7.1875,6.0,5.999999990009443,6.0,"[[[3.0, 1.0], [3.0, 7.0]]]","[[[3.0, 5.0], [6.0, 0.0]]]",True,True,True,True,False,"[('x0_0,', 0.46875), ('x0_1,', 0.53125), ('x1_0,0', 0.75), ('x1_1,0', 0.25), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', -0.0), ('y0_1-0', -0.0), ('y0_0-1', 1.0), ('y0_1-1', -0.0), ('a0', 8.34375)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,6.0,6.0,6.0,6.0,6.0,"[[[0.0, 3.0], [3.0, 6.0]]]","[[[6.0, 0.0], [4.0, 1.0]]]",False,False,False,False,False,"[('x0_0,', 0.0), ('x0_1,', 1.0), ('x1_0,0', 0.0), ('x1_1,0', 1.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 1.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 0.0), ('a0', 8.0)]","[[('x_0', 0.0), ('x_1', 1.0)]]"
0,10.0,10.0,10.0,10.0,10.0,"[[[5.0, 1.0], [3.0, 0.0]]]","[[[3.0, 2.0], [5.0, 6.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 0.5), ('x1_1,1', 0.5), ('y0_0-0', 1.0), ('y0_1-0', 0.0), ('y0_0-1', 0.0), ('y0_1-1', 0.0), ('a0', 6.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
0,10.0,10.0,10.0,10.0,10.0,"[[[5.0, 5.0], [2.0, 1.0]]]","[[[7.0, 7.0], [6.0, 1.0]]]",False,False,False,False,False,"[('x0_0,', 1.0), ('x0_1,', 0.0), ('x1_0,0', 1.0), ('x1_1,0', 0.0), ('x1_0,1', 0.0), ('x1_1,1', 1.0), ('y0_0-0', 1.0), ('y0_1-0', -0.0), ('y0_0-1', -0.0), ('y0_1-1', -0.0), ('a0', 14.0)]","[[('x_0', 1.0), ('x_1', 0.0)]]"
